phecode,description,phecode_exclude_range,sex,rollup,leaf,groupnum,group,color,phecode_exclude_description,n_cases,n_controls
070.1,Viral hepatitis A,050-079.99,Both,1,1,1,infectious diseases,blue, Viral infection,69,403302
070.2,Viral hepatitis B,050-079.99,Both,1,1,1,infectious diseases,blue, Viral infection,134,403302
070.3,Viral hepatitis C,050-079.99,Both,1,1,1,infectious diseases,blue, Viral infection,257,403302
070.4,Chronic hepatitis,050-079.99,Both,0,1,1,infectious diseases,blue, Viral infection,277,403302
070.9,Hepatitis NOS,050-079.99,Both,0,1,1,infectious diseases,blue, Viral infection,431,403302
071,Human immunodeficiency virus [HIV] disease,050-079.99,Both,1,0,1,infectious diseases,blue, Viral infection,147,403302
071.1,"HIV infection, symptomatic",050-079.99,Both,1,1,1,infectious diseases,blue, Viral infection,117,403302
078,Viral warts & HPV,050-079.99,Both,1,1,1,infectious diseases,blue, Viral infection,1007,403302
079,Viral infection,050-079.99,Both,1,0,1,infectious diseases,blue, Viral infection,2812,403302
079.1,Varicella infection,050-079.99,Both,1,1,1,infectious diseases,blue, Viral infection,65,403302
079.2,Infectious mononucleosis,050-079.99,Both,1,1,1,infectious diseases,blue, Viral infection,69,403302
080,Postoperative infection,080-082.99,Both,1,1,1,infectious diseases,blue, Postoperative infection,4504,402321
081,Infection/inflammation of internal prosthetic device; implant; and graft,080-082.99,Both,1,0,1,infectious diseases,blue, Postoperative infection,2492,402321
090,Sexually transmitted infections (not HIV or hepatitis),090-092.99,Both,1,0,1,infectious diseases,blue, Sexually transmitted infections (not hiv or hepatitis),73,408886
090.2,Gonococcal infections,090-092.99,Both,1,1,1,infectious diseases,blue, Sexually transmitted infections (not hiv or hepatitis),7,408886
090.3,Venereal diseases due to Chlamydia trachomatis,090-092.99,Both,1,1,1,infectious diseases,blue, Sexually transmitted infections (not hiv or hepatitis),5,408886
1000,Burns,,Both,1,0,18,injuries & poisonings,gray50,,583,408376
1001,Foreign body injury,,Both,1,0,18,injuries & poisonings,gray50,,1232,407727
1002,"Symptoms concerning nutrition, metabolism, and development",,Both,1,0,18,injuries & poisonings,gray50,,5512,403447
1004,Other signs and symptoms involving emotional state,,Both,1,0,18,injuries & poisonings,gray50,,301,408658
1005,Other symptoms,,Both,1,0,18,injuries & poisonings,gray50,,1452,407507
1006,Crushing injury,,Both,1,0,18,injuries & poisonings,gray50,,258,408701
1007,Injury to blood vessels,,Both,1,0,18,injuries & poisonings,gray50,,256,408703
1008,Crushing or internal injury to organs,,Both,1,0,18,injuries & poisonings,gray50,,1015,407944
1009,"Injury, NOS",,Both,1,0,18,injuries & poisonings,gray50,,8550,400409
1010,Other tests,,Both,1,0,18,injuries & poisonings,gray50,,6001,402958
1011,Complications of surgical and medical procedures,,Both,1,0,18,injuries & poisonings,gray50,,9248,399711
1012,Late effect,,Both,1,0,18,injuries & poisonings,gray50,,106,408853
1013,Asphyxia and hypoxemia,,Both,1,0,18,injuries & poisonings,gray50,,317,408642
1014,"Effects of heat, cold and air pressure",,Both,1,0,18,injuries & poisonings,gray50,,66,408893
1015,Effects of other external causes,,Both,1,0,18,injuries & poisonings,gray50,,4256,404703
1019,Other ill-defined and unknown causes of morbidity and mortality,,Both,1,0,18,injuries & poisonings,gray50,,16398,392561
110,Dermatophytosis / Dermatomycosis,110-118.99,Both,1,0,1,infectious diseases,blue, Mycoses,286,406291
110.1,Dermatophytosis,110-118.99,Both,1,0,1,infectious diseases,blue, Mycoses,280,406291
110.11,Dermatophytosis of nail,110-118.99,Both,1,1,1,infectious diseases,blue, Mycoses,76,406291
110.12,Althete's foot,110-118.99,Both,1,1,1,infectious diseases,blue, Mycoses,141,406291
110.13,Dermatophytosis of the body,110-118.99,Both,1,1,1,infectious diseases,blue, Mycoses,27,406291
110.2,Dermatomycoses,110-118.99,Both,1,1,1,infectious diseases,blue, Mycoses,7,406291
112,Candidiasis,110-118.99,Both,1,0,1,infectious diseases,blue, Mycoses,2136,406291
112.3,Candidiasis of skin and nails,110-118.99,Both,1,1,1,infectious diseases,blue, Mycoses,30,406291
117,Mycoses,110-118.99,Both,1,0,1,infectious diseases,blue, Mycoses,276,406291
117.1,Histoplasmosis,110-118.99,Both,1,1,1,infectious diseases,blue, Mycoses,4,406291
117.2,Coccidioidomycosis,110-118.99,Both,1,1,1,infectious diseases,blue, Mycoses,1,406291
117.3,Blastomycotic infection,110-118.99,Both,1,1,1,infectious diseases,blue, Mycoses,1,406291
117.4,Aspergillosis,110-118.99,Both,1,1,1,infectious diseases,blue, Mycoses,166,406291
130,Spirochetal infection,130-136.99,Both,1,0,1,infectious diseases,blue, Other infections; including parasitic,80,408425
130.1,Lyme disease,130-136.99,Both,1,1,1,infectious diseases,blue, Other infections; including parasitic,30,408425
131,Protozoan infection,130-136.99,Both,1,1,1,infectious diseases,blue, Other infections; including parasitic,20,408425
132,"Infestation (lice, mites)",130-136.99,Both,1,0,1,infectious diseases,blue, Other infections; including parasitic,32,408425
132.1,Pediculosis and phthirus infestation,130-136.99,Both,1,1,1,infectious diseases,blue, Other infections; including parasitic,3,408425
133,Arthropod-borne diseases,130-136.99,Both,1,1,1,infectious diseases,blue, Other infections; including parasitic,70,408425
134,Helminthiases,130-136.99,Both,1,0,1,infectious diseases,blue, Other infections; including parasitic,129,408425
134.1,Intestinal helminthiases,130-136.99,Both,1,1,1,infectious diseases,blue, Other infections; including parasitic,107,408425
136,Other infectious and parasitic diseases,130-136.99,Both,1,1,1,infectious diseases,blue, Other infections; including parasitic,207,408425
145,Cancer of mouth,"140-149.99, 210-210.99",Both,1,0,2,neoplasms,darkcyan,"Cancer/benign neoplams of lip, oral cavity, pharynx",648,406806
145.1,Cancer of lip,"140-149.99, 210-210.99",Both,1,1,2,neoplasms,darkcyan,"Cancer/benign neoplams of lip, oral cavity, pharynx",47,406806
145.2,Cancer of tongue,"140-149.99, 210-210.99",Both,1,1,2,neoplasms,darkcyan,"Cancer/benign neoplams of lip, oral cavity, pharynx",310,406806
145.3,Cancer of major salivary glands,"140-149.99, 210-210.99",Both,1,1,2,neoplasms,darkcyan,"Cancer/benign neoplams of lip, oral cavity, pharynx",105,406806
145.4,Cancer of the gums,"140-149.99, 210-210.99",Both,1,1,2,neoplasms,darkcyan,"Cancer/benign neoplams of lip, oral cavity, pharynx",30,406806
145.5,Cancer of the mouth floor,"140-149.99, 210-210.99",Both,1,1,2,neoplasms,darkcyan,"Cancer/benign neoplams of lip, oral cavity, pharynx",54,406806
149,"Cancer of larynx, pharynx, nasal cavities","140-149.99, 210-210.99",Both,1,0,2,neoplasms,darkcyan,"Cancer/benign neoplams of lip, oral cavity, pharynx",643,406806
149.1,Cancer of oropharynx,"140-149.99, 210-210.99",Both,1,1,2,neoplasms,darkcyan,"Cancer/benign neoplams of lip, oral cavity, pharynx",253,406806
149.2,Cancer of nasopharynx,"140-149.99, 210-210.99",Both,1,1,2,neoplasms,darkcyan,"Cancer/benign neoplams of lip, oral cavity, pharynx",35,406806
149.3,Cancer of hypopharynx,"140-149.99, 210-210.99",Both,1,1,2,neoplasms,darkcyan,"Cancer/benign neoplams of lip, oral cavity, pharynx",50,406806
149.4,Cancer of larynx,"140-149.99, 210-210.99",Both,1,1,2,neoplasms,darkcyan,"Cancer/benign neoplams of lip, oral cavity, pharynx",265,406806
149.9,Cancer of of nasal cavities,"140-149.99, 210-210.99",Both,1,1,2,neoplasms,darkcyan,"Cancer/benign neoplams of lip, oral cavity, pharynx",57,406806
150,Cancer of esophagus,"140-159.99, 210-211.99",Both,1,1,2,neoplasms,darkcyan, cancer/benign neoplasm of gi tract,764,393172
151,Cancer of stomach,"140-159.99, 210-211.99",Both,1,1,2,neoplasms,darkcyan, cancer/benign neoplasm of gi tract,570,393172
153,Colorectal cancer,"150-159.99, 208-208.99",Both,1,0,2,neoplasms,darkcyan, GI cancer; benign neoplasms of colon,4627,382578
153.2,Colon cancer,"150-159.99, 208-208.99",Both,1,1,2,neoplasms,darkcyan, GI cancer; benign neoplasms of colon,3121,382578
153.3,"Malignant neoplasm of rectum, rectosigmoid junction, and anus","150-159.99, 208-208.99",Both,1,1,2,neoplasms,darkcyan, GI cancer; benign neoplasms of colon,2175,382578
155,Cancer of liver and intrahepatic bile duct,"140-159.99, 210-211.99",Both,1,0,2,neoplasms,darkcyan, cancer/benign neoplasm of gi tract,402,393172
155.1,"Malignant neoplasm of liver, primary","140-159.99, 210-211.99",Both,1,1,2,neoplasms,darkcyan, cancer/benign neoplasm of gi tract,158,393172
157,Pancreatic cancer,"140-159.99, 210-211.99",Both,1,1,2,neoplasms,darkcyan, cancer/benign neoplasm of gi tract,659,393172
158,Neoplasm of unspecified nature of digestive system,"140-159.99, 210-211.99",Both,1,1,2,neoplasms,darkcyan, cancer/benign neoplasm of gi tract,1065,393172
159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,"140-159.99, 210-211.99",Both,1,0,2,neoplasms,darkcyan, cancer/benign neoplasm of gi tract,5608,393172
159.2,"Malignant neoplasm of small intestine, including duodenum","140-159.99, 210-211.99",Both,1,1,2,neoplasms,darkcyan, cancer/benign neoplasm of gi tract,190,393172
159.3,Malignant neoplasm of gallbladder and extrahepatic bile ducts,"140-159.99, 210-211.99",Both,1,1,2,neoplasms,darkcyan, cancer/benign neoplasm of gi tract,205,393172
159.4,Malignant neoplasm of retroperitoneum and peritoneum,"140-159.99, 210-211.99",Both,1,1,2,neoplasms,darkcyan, cancer/benign neoplasm of gi tract,193,393172
164,Cancer of intrathoracic organs,160-165.99,Both,1,1,2,neoplasms,darkcyan,Malignant neoplasm of respiratory and intrathoracic organs,60,406084
165,Cancer within the respiratory system,160-165.99,Both,1,0,2,neoplasms,darkcyan,Malignant neoplasm of respiratory and intrathoracic organs,2840,406084
165.1,Cancer of bronchus; lung,160-165.99,Both,1,1,2,neoplasms,darkcyan,Malignant neoplasm of respiratory and intrathoracic organs,2243,406084
170,Cancer of bone and connective tissue,170-171.99,Both,1,0,2,neoplasms,darkcyan,"Cancer of bone, connective tissue",445,408514
170.1,Bone cancer,170-171.99,Both,1,1,2,neoplasms,darkcyan,"Cancer of bone, connective tissue",131,408514
170.2,Cancer of connective tissue,170-171.99,Both,1,1,2,neoplasms,darkcyan,"Cancer of bone, connective tissue",331,408514
172,Skin cancer,172-173.99,Both,1,0,2,neoplasms,darkcyan,Malignant neoplasm of skin,13782,395040
172.1,"Melanomas of skin, dx or hx",172-173.99,Both,1,0,2,neoplasms,darkcyan,Malignant neoplasm of skin,2724,395040
172.11,Melanomas of skin,172-173.99,Both,1,1,2,neoplasms,darkcyan,Malignant neoplasm of skin,2724,395040
172.2,Other non-epithelial cancer of skin,172-173.99,Both,1,0,2,neoplasms,darkcyan,Malignant neoplasm of skin,11152,395040
172.3,Carcinoma in situ of skin,172-173.99,Both,1,1,2,neoplasms,darkcyan,Malignant neoplasm of skin,667,395040
173,Neoplasm of uncertain behavior of skin,172-173.99,Both,1,1,2,neoplasms,darkcyan,Malignant neoplasm of skin,182,395040
174,Breast cancer,"174-184.99, 610-610.99",Both,1,0,2,neoplasms,darkcyan, cancer of female genital organs; breast dysplasia,12908,385697
174.1,Breast cancer [female],"174-184.99, 610-610.99",Female,1,0,2,neoplasms,darkcyan, cancer of female genital organs; breast dysplasia,12679,200634
174.11,Malignant neoplasm of female breast,"174-184.99, 610-610.99",Female,1,1,2,neoplasms,darkcyan, cancer of female genital organs; breast dysplasia,11882,200634
174.3,Neoplasm of uncertain behavior of breast,"174-184.99, 610-610.99",Both,1,1,2,neoplasms,darkcyan, cancer of female genital organs; breast dysplasia,115,385697
175,Acquired absence of breast,"174-184.99, 610-611.99",Female,1,1,2,neoplasms,darkcyan,,2415,199679
180,Cervical cancer and dysplasia,"174-184.99, 218-218.99, 792-792.99",Female,1,0,2,neoplasms,darkcyan, cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear,3650,193990
180.1,Cervical cancer,"174-184.99, 218-218.99, 792-792.99",Female,1,1,2,neoplasms,darkcyan, cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear,1659,193990
180.3,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],"174-184.99, 218-218.99, 792-792.99",Female,1,1,2,neoplasms,darkcyan, cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear,2087,193990
182,Malignant neoplasm of uterus,"174-184.99, 218-218.99",Female,1,1,2,neoplasms,darkcyan, cancer of female genital organs; benign neoplasm of uterus,1291,194054
184,Cancer of other female genital organs,"174-184.99, 220-221.99",Female,1,0,2,neoplasms,darkcyan, cancer of female genital organs; benign neoplasm of female genital organs,2472,201781
184.1,Malignant neoplasm of ovary and other uterine adnexa,"174-184.99, 220-221.99",Female,1,0,2,neoplasms,darkcyan, cancer of female genital organs; benign neoplasm of female genital organs,2136,201781
184.11,Malignant neoplasm of ovary,"174-184.99, 220-221.99",Female,1,1,2,neoplasms,darkcyan, cancer of female genital organs; benign neoplasm of female genital organs,2113,201781
184.2,Cancer of other female genital organs (excluding uterus and ovary),"174-184.99, 220-221.99",Female,1,1,2,neoplasms,darkcyan, cancer of female genital organs; benign neoplasm of female genital organs,305,201781
185,Cancer of prostate,"185-187.99, 796-796.99, 600-602.99",Male,1,1,2,neoplasms,darkcyan, male genital disorders/cancer/neoplasms; elevated psa,6761,169054
187,Cancer of other male genital organs,"185-187.99, 222-222.99",Male,1,0,2,neoplasms,darkcyan, cancer/benign neoplasm of male genital organs,3122,180526
187.1,Malignant neoplasm of unspecified male genital organ,"185-187.99, 222-222.99",Male,1,1,2,neoplasms,darkcyan, cancer/benign neoplasm of male genital organs,2842,180526
187.2,Malignant neoplasm of testis,"185-187.99, 222-222.99",Male,1,1,2,neoplasms,darkcyan, cancer/benign neoplasm of male genital organs,2981,180526
187.8,Neoplasm of uncertain behavior of male genital organs,"185-187.99, 222-222.99",Male,1,1,2,neoplasms,darkcyan, cancer/benign neoplasm of male genital organs,110,180526
189,Cancer of urinary organs (incl. kidney and bladder),188-189.99,Both,1,0,2,neoplasms,darkcyan,"Malignant neoplasm of badder, kidney and other urinary organs",4195,404764
189.1,Cancer of kidney and renal pelvis,188-189.99,Both,1,0,2,neoplasms,darkcyan,"Malignant neoplasm of badder, kidney and other urinary organs",1077,404764
189.11,"Malignant neoplasm of kidney, except pelvis",188-189.99,Both,1,1,2,neoplasms,darkcyan,"Malignant neoplasm of badder, kidney and other urinary organs",1034,404764
189.12,Malignant neoplasm of renal pelvis,188-189.99,Both,1,1,2,neoplasms,darkcyan,"Malignant neoplasm of badder, kidney and other urinary organs",66,404764
189.2,Cancer of bladder,188-189.99,Both,1,0,2,neoplasms,darkcyan,"Malignant neoplasm of badder, kidney and other urinary organs",2433,404764
189.21,Malignant neoplasm of bladder,188-189.99,Both,1,1,2,neoplasms,darkcyan,"Malignant neoplasm of badder, kidney and other urinary organs",2154,404764
189.4,Malignant neoplasm of other urinary organs,188-189.99,Both,1,1,2,neoplasms,darkcyan,"Malignant neoplasm of badder, kidney and other urinary organs",144,404764
190,Cancer of eye,"224-225.99, 190-192.99",Both,1,1,2,neoplasms,darkcyan," cancer/benign neoplasm of eye, brain, nervous system",176,407199
191,Manlignant and unknown neoplasms of brain and nervous system,"224-225.99, 190-192.99",Both,1,0,2,neoplasms,darkcyan," cancer/benign neoplasm of eye, brain, nervous system",693,407199
191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99",Both,1,0,2,neoplasms,darkcyan," cancer/benign neoplasm of eye, brain, nervous system",569,407199
191.11,Cancer of brain,"224-225.99, 190-192.99",Both,1,1,2,neoplasms,darkcyan," cancer/benign neoplasm of eye, brain, nervous system",525,407199
193,Thyroid cancer,"193-194.99, 226-227.99",Both,1,1,2,neoplasms,darkcyan," Cancer/benign tumor of thyroid gland, other endocrine glands",358,407389
194,Cancer of other endocrine glands,"193-194.99, 226-227.99",Both,1,1,2,neoplasms,darkcyan," Cancer/benign tumor of thyroid gland, other endocrine glands",95,407389
195,"Cancer, suspected or other",195-199.99,Both,1,0,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",17231,370419
195.1,"Malignant neoplasm, other",195-199.99,Both,1,1,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",16490,370419
195.3,"Malignant neoplasm of head, face, and neck",195-199.99,Both,1,0,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",40,370419
196,Radiotherapy,195-199.99,Both,1,1,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",5,370419
197,Chemotherapy,195-199.99,Both,1,1,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",21797,370419
198,Secondary malignant neoplasm,195-199.99,Both,1,0,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",9645,370419
198.1,Secondary malignancy of lymph nodes,195-199.99,Both,1,1,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",5392,370419
198.2,Secondary malignancy of respiratory organs,195-199.99,Both,1,1,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",2273,370419
198.3,Secondary malignant neoplasm of digestive systems,195-199.99,Both,1,1,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",1555,370419
198.4,Secondary malignant neoplasm of liver,195-199.99,Both,1,1,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",2675,370419
198.5,Secondary malignancy of brain/spine,195-199.99,Both,1,1,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",852,370419
198.6,Secondary malignancy of bone,195-199.99,Both,1,1,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",2168,370419
198.7,Secondary malignant neoplasm of skin,195-199.99,Both,1,1,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",189,370419
199,Neoplasm of uncertain behavior,195-199.99,Both,1,0,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",1436,370419
199.4,Neurofibromatosis,195-199.99,Both,1,1,2,neoplasms,darkcyan,"Neoplasms: malignant, secondary or uncertain",96,370419
200,Myeloproliferative disease,200-204.99,Both,1,0,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,1003,404405
200.1,Polycythemia vera,"200-204.99, 289-289.99",Both,1,1,2,neoplasms,darkcyan,,392,401087
201,Hodgkin's disease,200-204.99,Both,1,1,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,262,404405
202,"Cancer of other lymphoid, histiocytic tissue",200-204.99,Both,1,0,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,2304,404405
202.2,Non-Hodgkins lymphoma,200-204.99,Both,1,0,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,1827,404405
202.21,Nodular lymphoma,200-204.99,Both,1,1,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,372,404405
202.23,Lymphosarcoma,200-204.99,Both,1,1,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,14,404405
202.24,Large cell lymphoma,200-204.99,Both,1,1,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,584,404405
204,Leukemia,200-204.99,Both,1,0,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,1696,404405
204.1,Lymphoid leukemia,200-204.99,Both,1,0,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,587,404405
204.11,"Lymphoid leukemia, acute",200-204.99,Both,1,1,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,60,404405
204.12,"Lymphoid leukemia, chronic",200-204.99,Both,1,1,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,514,404405
204.2,Myeloid leukemia,200-204.99,Both,1,0,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,486,404405
204.21,"Myeloid leukemia, acute",200-204.99,Both,1,1,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,336,404405
204.22,"Myeloid leukemia, chronic",200-204.99,Both,1,1,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,157,404405
204.3,Monocytic leukemia,200-204.99,Both,1,1,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,30,404405
204.4,Multiple myeloma,200-204.99,Both,1,1,2,neoplasms,darkcyan, cancer of lymphatic and hematopoietic tissue,559,404405
208,Benign neoplasm of colon,"153-153.99, 208-208.99",Both,1,1,2,neoplasms,darkcyan, Benign and malignant neoplasm of colon,20204,385953
210,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99",Both,1,1,2,neoplasms,darkcyan,"Cancer/benign neoplams of lip, oral cavity, pharynx",984,406806
211,Benign neoplasm of other parts of digestive system,"211-211.99, 150-159.99",Both,1,1,2,neoplasms,darkcyan,Cancer/benign neoplams of digestive system,5281,395110
212,Benign neoplasm of respiratory and intrathoracic organs,212-212.99,Both,1,1,2,neoplasms,darkcyan,Benign neoplasm of respiratory and intrathoracic organs,348,408611
213,Benign neoplasm of bone and articular cartilage,210-229.99,Both,1,1,2,neoplasms,darkcyan,Benign Neoplasms,320,371163
214,Lipoma,214-215.99,Both,1,0,2,neoplasms,darkcyan,Lipoma and Other benign neoplasm of connective and other soft tissue,6271,401611
214.1,Lipoma of skin and subcutaneous tissue,214-215.99,Both,1,1,2,neoplasms,darkcyan,Lipoma and Other benign neoplasm of connective and other soft tissue,4611,401611
215,Other benign neoplasm of connective and other soft tissue,214-215.99,Both,1,1,2,neoplasms,darkcyan,Lipoma and Other benign neoplasm of connective and other soft tissue,1110,401611
216,Benign neoplasm of skin,216-217.99,Both,1,1,2,neoplasms,darkcyan,Benign neoplasm of skin,7721,400617
217,Vascular hamartomas and non-neoplastic nevi,216-217.99,Both,1,0,2,neoplasms,darkcyan,Benign neoplasm of skin,649,400617
217.1,"Nevus, non-neoplastic",216-217.99,Both,1,1,2,neoplasms,darkcyan,Benign neoplasm of skin,597,400617
218,Benign neoplasm of uterus,"217-223.99, 180-184.99",Female,1,0,2,neoplasms,darkcyan," benign neoplasm of breast, ovary, uterus, and other genitourinary organs; uterine/ovarian cancer",10608,204167
218.1,Uterine leiomyoma,"217-223.99, 180-184.99",Female,1,1,2,neoplasms,darkcyan," benign neoplasm of breast, ovary, uterus, and other genitourinary organs; uterine/ovarian cancer",10343,204167
218.2,Other benign neoplasm of uterus,"217-223.99, 180-184.99",Female,1,1,2,neoplasms,darkcyan," benign neoplasm of breast, ovary, uterus, and other genitourinary organs; uterine/ovarian cancer",356,204167
220,Benign neoplasm of ovary,"174-184.99, 217-221.99",Female,1,1,2,neoplasms,darkcyan,,1481,192692
221,Benign neoplasm of other female genital organs,"217-223.99, 174-184.99",Female,1,1,2,neoplasms,darkcyan,Cancer/benign neoplasm of female genital organs,220,192651
222,Benign neoplasm of male genital organs,"185-187.99, 222-222.99",Male,1,1,2,neoplasms,darkcyan, cancer/benign neoplasm of male genital organs,160,180526
223,Benign neoplasm of kidney and other urinary organs,210-229.99,Both,1,1,2,neoplasms,darkcyan,Benign Neoplasms,174,371163
224,Benign neoplasm of eye,"224-225.99, 190-192.99",Both,1,0,2,neoplasms,darkcyan," cancer/benign neoplasm of eye, brain, nervous system",130,407199
224.1,"Benign neoplasm of eye, uveal","224-225.99, 190-192.99",Both,1,1,2,neoplasms,darkcyan," cancer/benign neoplasm of eye, brain, nervous system",68,407199
225,Benign neoplasm of brain and other parts of nervous system,"224-225.99, 190-192.99",Both,1,0,2,neoplasms,darkcyan," cancer/benign neoplasm of eye, brain, nervous system",830,407199
225.1,"Benign neoplasm of brain, cranial nerves, meninges","224-225.99, 190-192.99",Both,1,1,2,neoplasms,darkcyan," cancer/benign neoplasm of eye, brain, nervous system",776,407199
225.2,"Benign neoplasm of spinal cord, meninges","224-225.99, 190-192.99",Both,1,1,2,neoplasms,darkcyan," cancer/benign neoplasm of eye, brain, nervous system",59,407199
226,Benign neoplasm of thyroid glands,"193-194.99, 226-227.99",Both,1,1,2,neoplasms,darkcyan," Cancer/benign tumor of thyroid gland, other endocrine glands",285,407389
227,Benign neoplasm of other endocrine glands and related structures,"193-194.99, 226-227.99",Both,1,0,2,neoplasms,darkcyan," Cancer/benign tumor of thyroid gland, other endocrine glands",879,407389
227.1,Benign neoplasm of adrenal gland,"193-194.99, 226-227.99",Both,1,1,2,neoplasms,darkcyan," Cancer/benign tumor of thyroid gland, other endocrine glands",186,407389
227.2,Benign neoplasm of parathyroid gland,"193-194.99, 226-227.99",Both,1,1,2,neoplasms,darkcyan," Cancer/benign tumor of thyroid gland, other endocrine glands",371,407389
227.3,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch),"193-194.99, 226-227.99",Both,1,1,2,neoplasms,darkcyan," Cancer/benign tumor of thyroid gland, other endocrine glands",312,407389
228,"Hemangioma and lymphangioma, any site",228-228.99,Both,1,0,2,neoplasms,darkcyan,Hemangioma and lymphangioma any site,1604,407355
229,Benign neoplasm of unspecified sites,229-229.99,Both,1,0,2,neoplasms,darkcyan,Benign neoplasm of other and unspecified sites,2402,406557
229.1,Benign neoplasm of lymph nodes,229-229.99,Both,1,1,2,neoplasms,darkcyan,Benign neoplasm of other and unspecified sites,42,406557
230,Kaposi's sarcoma,230-230.99,Both,1,1,2,neoplasms,darkcyan, Kaposi's sarcoma,7,408952
240,Simple and unspecified goiter,240-246.99,Both,1,1,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,602,391423
241,Nontoxic nodular goiter,240-246.99,Both,1,0,3,endocrine/metabolic,brown,DISORDERS OF THYROID GLAND,1143,391423
